-0.26,0.08,0.96-0.26,0.07,0.95-0.25,0.07,0.94-0.23,0.09,0.95-0.20,0.10,0.98-0.17,0.12,0.98-0.14,0.12,0.98-0.14,0.12,1.00-0.18,0.14,1.02-0.23,0.15,1.01-0.26,0.16,1.01-0.25,0.15,1.00-0.20,0.16,1.00-0.16,0.18,1.01-0.10,0.18,1.02-0.15,0.17,1.02-0.29,0.18,1.00-0.31,0.17,0.98-0.20,0.15,0.97-0.16,0.19,1.01-0.18,0.22,1.00-0.08,0.23,0.990.08,0.21,0.980.15,0.24,1.020.49,0.17,1.090.57,0.13,1.080.12,0.13,1.05-0.10,0.25,0.96-0.15,0.29,0.93-0.19,0.33,0.94-0.20,0.33,0.93-0.18,0.36,0.89-0.15,0.40,0.88-0.10,0.40,0.90-0.06,0.39,0.92-0.06,0.35,0.91-0.05,0.32,0.93-0.06,0.27,0.95-0.08,0.26,0.94-0.08,0.30,0.93-0.11,0.34,0.94-0.10,0.32,0.96-0.07,0.28,0.96-0.04,0.29,0.97-0.03,0.31,0.96-0.02,0.30,0.950.00,0.30,0.940.06,0.30,0.95,7.195,31.463,-7.896,0
0.15,0.31,0.98,4.329,50.366,-16.433,0
0.06,0.33,0.93,3.384,53.598,-19.360,0
-0.04,0.30,0.96,2.256,41.067,-20.030,0
-0.01,0.29,0.96,5.061,34.329,-15.335,0
-0.02,0.29,0.94,6.280,31.860,-14.726,0
-0.01,0.32,0.96,1.524,28.811,-8.598,0
-0.08,0.33,0.97-0.15,0.29,0.95,-3.293,12.134,-5.854,70
-0.13,0.28,0.94,-2.591,-13.201,-1.707,70
0.00,0.31,0.94,1.860,-28.384,6.524,70
0.05,0.31,0.97,2.683,-20.823,10.823,70
0.06,0.29,0.96,0.152,-4.360,2.012,70
0.01,0.30,0.95,-0.213,11.128,-5.823,70
-0.03,0.30,0.96,-0.793,17.439,-9.329,70
-0.07,0.29,0.96,-1.220,11.768,-7.530,70
-0.09,0.30,0.95,-0.732,-2.561,-3.506,70
-0.05,0.30,0.95,1.220,-18.018,0.488,70
0.01,0.31,0.95,2.439,-27.012,5.152,70
0.05,0.30,0.99,1.494,-20.000,8.963,70
0.06,0.27,0.96,0.945,-4.756,7.988,70
0.05,0.29,0.98,3.659,9.970,0.244,70
0.01,0.30,0.94,6.402,25.549,-5.274,70
-0.02,0.32,0.96,6.402,29.939,-9.817,70
-0.05,0.32,0.95,3.476,28.902,-12.896,70
-0.08,0.32,0.94,0.244,21.982,-13.537,70
-0.11,0.31,0.92,-0.793,9.970,-9.116,70
-0.10,0.31,0.92,1.616,-6.250,-0.701,70
-0.06,0.32,0.94,2.226,-20.274,8.293,70
-0.02,0.33,0.96,-0.640,-25.945,15.793,70
0.02,0.31,0.97,-4.543,-25.427,15.122,70
0.04,0.29,0.97,-6.402,-20.213,7.317,70
0.04,0.30,0.95,-4.238,-10.518,0.732,70
0.00,0.31,0.96,-1.677,-3.201,-2.866,70
-0.02,0.31,0.96,-1.524,-3.171,-4.390,70
-0.02,0.30,0.94,-0.854,-6.280,-2.927,70
-0.02,0.30,0.96,0.122,-10.701,-0.915,70
-0.01,0.30,0.96,0.274,-15.701,1.098,70
0.01,0.30,0.95,-0.915,-17.988,1.921,70
