0.88,0.45,0.13,1.98,0.06,0,69
0.88,0.45,0.14,0.79,-0.15,0.09,69
0.87,0.44,0.13,1.65,-0.43,-0.52,69
0.88,0.44,0.17,0.58,-0.58,-0.34,69
0.89,0.48,0.12,0.15,-0.58,-0.12,69
0.88,0.44,0.21,-1.4,-0.67,0.06,69
0.88,0.45,0.19,-0.85,-0.88,0.21,69
0.88,0.44,0.21,0.18,-0.73,0.18,69
0.89,0.43,0.15,0.98,-0.24,0.27,69
0.88,0.47,0.05,0.82,-0.3,0.21,69
0.86,0.47,0.16,-0.98,-1.16,-0.15,69
0.9,0.44,0.13,-0.73,0.15,-0.06,69
0.85,0.47,0.15,-1.55,-1.1,-0.18,69
0.91,0.44,0.11,-0.37,0.12,-0.15,69
0.87,0.47,0.06,-0.18,-0.49,-0.12,69
0.87,0.47,0.05,0.24,-0.27,-0.21,69
0.88,0.44,0.17,-0.82,0.06,-0.34,69
0.87,0.45,0.13,-0.64,0.09,-0.79,69
0.88,0.45,0.12,-0.67,0.03,-0.46,69
0.88,0.45,0.13,0.09,0.37,-0.88,69
0.88,0.45,0.13,0.3,0.49,-0.46,69
0.88,0.45,0.12,0.58,0.49,-0.58,69
0.87,0.45,0.13,0.82,0.43,-0.7,69
0.88,0.45,0.13,0.4,0.52,-0.79,69
0.87,0.45,0.13,0.73,0.46,-1.25,69
0.87,0.45,0.12,1.68,0.21,-1.65,69
0.87,0.45,0.12,2.44,0.24,-1.83,69
0.88,0.45,0.13,2.35,0.3,-1.95,69
0.88,0.46,0.13,2.56,0.4,-2.01,69
0.89,0.45,0.12,3.87,0.58,-2.35,69
0.89,0.45,0.13,5.91,1.04,-2.74,69
0.89,0.45,0.13,7.77,1.34,-3.32,69
0.89,0.45,0.14,8.75,1.55,-3.63,69
0.89,0.45,0.15,8.6,1.89,-4.12,69
0.89,0.45,0.15,7.16,1.71,-4.21,69
0.91,0.46,0.16,4.39,1.4,-3.51,69
0.92,0.46,0.17,2.1,1.74,-1.86,69
0.91,0.45,0.16,2.2,1.68,-1.28,69
0.89,0.45,0.16,0.82,0.12,-0.52,69
0.84,0.45,0.19,-5.43,-1.01,1.13,69
0.82,0.44,0.17,-12.35,-2.16,2.26,69
0.82,0.45,0.16,-16.98,-4.21,3.63,69
0.82,0.47,0.16,-22.13,-5.61,6.16,69
0.84,0.48,0.15,-28.81,-5.91,8.87,69
0.85,0.48,0.13,-33.66,-6.01,10.88,69
0.86,0.46,0.11,-32.47,-5.27,11.62,69
0.85,0.44,0.1,-25,-3.6,9.42,69
0.85,0.44,0.09,-16.49,-1.8,5.24,69
0.85,0.46,0.09,-11.77,-0.88,0.34,69
0.86,0.48,0.1,-12.26,-2.35,-3.93,69
0.88,0.49,0.11,-16.16,-3.87,-6.55,69
0.9,0.49,0.09,-18.29,-4.48,-7.74,69
0.95,0.5,0.08,-17.38,-5.37,-7.77,69
1.06,0.54,0.12,-18.11,-6.95,-6.71,69
1.1,0.57,0.15,-24.33,-7.71,-1.83,69
0.95,0.49,0.12,-29.09,-5.03,5.64,69
0.76,0.35,0.04,-16.49,2.23,4.76,69
0.71,0.28,0.03,14.91,9.36,-5.52,69
0.74,0.34,0.1,43.54,12.5,-14.57,69
0.8,0.47,0.17,49.94,12.13,-17.13,69
0.84,0.54,0.18,37.93,10.15,-16.74,69
0.85,0.5,0.16,26.89,7.59,-17.71,69
0.84,0.44,0.15,29.3,5.7,-20.12,69
0.86,0.41,0.16,38.2,5.18,-23.9,69
0.9,0.38,0.14,41.22,6.98,-29.18,69
0.92,0.38,0.11,37.1,8.23,-33.11,69
0.92,0.42,0.12,29.66,6.01,-34.6,69
0.9,0.46,0.13,18.14,1.59,-34.66,69
0.89,0.46,0.13,7.68,-3.2,-30.15,69
0.93,0.5,0.13,4.39,-9.45,-22.8,69
0.99,0.59,0.2,0.95,-16.92,-8.9,69
1,0.62,0.26,-12.62,-22.44,9.45,69
0.91,0.55,0.24,-27.01,-20.85,24.91,69
0.82,0.46,0.16,-29.18,-11.1,32.56,69
0.74,0.35,0.07,-18.72,0.55,33.6,69
0.72,0.33,0.07,-6.89,6.55,33.57,69
0.74,0.36,0.1,-5.37,7.41,36.62,69
0.78,0.42,0.11,-6.31,7.8,40.61,69
0.81,0.48,0.14,4.33,7.07,42.9,69
0.84,0.51,0.19,24.82,7.2,40.18,69
0.91,0.5,0.19,41.37,8.93,31.19,69
0.96,0.52,0.18,39.48,8.54,23.41,69
0.96,0.54,0.16,14.6,2.01,19.66,69
0.94,0.48,0.12,-16.83,-6.16,12.07,69
0.89,0.44,0.09,-31.19,-9.36,4.85,69
0.9,0.49,0.13,-29.63,-11.43,-0.91,69
0.96,0.53,0.18,-27.1,-14.79,-4.54,69
1.03,0.55,0.21,-27.13,-15.24,-4.76,69
1.01,0.56,0.21,-26.83,-11.59,-0.37,69
0.91,0.5,0.16,-24.36,-3.51,3.08,69
0.83,0.42,0.09,-17.1,6.83,2.35,69
0.77,0.37,0.05,-6.22,13.84,0.12,69
0.76,0.36,0.06,4.54,15.85,-2.68,69
0.79,0.41,0.1,13.41,15.37,-4.45,69
0.8,0.46,0.14,20,14.94,-4.15,69
0.78,0.48,0.16,26.28,14.51,-5.82,69
0.8,0.48,0.15,31.04,12.8,-10.61,69
0.89,0.49,0.14,28.66,9.21,-15.88,69
0.98,0.52,0.15,16.19,2.96,-18.63,69
0.98,0.53,0.15,-6.01,-3.14,-17.65,69
0.91,0.48,0.11,-27.56,-6.52,-15.95,69
0.87,0.43,0.08,-33.66,-7.87,-17.38,69
0.88,0.43,0.11,-25.34,-10.24,-17.5,69
0.94,0.5,0.17,-17.47,-12.87,-14.05,69
0.99,0.53,0.21,-17.87,-13.29,-9.27,69
0.96,0.5,0.22,-20.64,-10.95,-3.93,69
0.88,0.45,0.16,-17.84,-2.68,-0.82,69
0.8,0.37,0.1,-9.63,7.77,-2.93,69
0.77,0.31,0.05,0.98,13.41,-7.59,69
0.77,0.3,0.06,13.81,14.85,-10.76,69
0.79,0.36,0.11,25.95,14.15,-11.74,69
0.79,0.43,0.16,34.21,12.26,-11.43,69
0.8,0.47,0.2,37.44,9.63,-12.56,69
0.85,0.49,0.19,33.14,6.59,-12.71,69
0.91,0.52,0.17,21.31,2.41,-9.88,69
0.96,0.52,0.17,4.02,-4.85,-6.74,69
0.94,0.49,0.15,-16.04,-10.7,-3.14,69
0.88,0.43,0.11,-29.85,-12.62,0.15,69
0.87,0.42,0.12,-30.88,-14.79,1.8,69
0.91,0.46,0.16,-25.76,-16.98,3.69,69
0.97,0.5,0.2,-23.32,-17.13,6.68,69
0.98,0.51,0.22,-24.21,-15.06,10.82,69
0.95,0.48,0.21,-23.9,-9.54,14.42,69
0.87,0.42,0.15,-19.09,-0.03,15.46,69
0.79,0.35,0.07,-7.93,8.81,13.63,69
0.74,0.31,0.05,7.29,13.14,9.33,69
0.75,0.34,0.08,20,12.84,6.95,69
0.77,0.42,0.13,27.99,11.68,8.38,69
0.78,0.48,0.17,33.48,10.09,8.45,69
0.83,0.51,0.19,35.67,8.08,6.37,69
0.91,0.54,0.19,29.82,5.43,6.01,69
0.95,0.55,0.16,13.38,0.88,8.72,69
0.93,0.51,0.12,-7.01,-4.18,10.95,69
0.89,0.45,0.08,-20.85,-7.04,10.7,69
0.89,0.43,0.08,-21.98,-9.91,8.75,69
0.91,0.46,0.13,-15.27,-13.08,7.9,69
0.93,0.51,0.18,-10.15,-14.54,7.96,69
0.95,0.53,0.2,-9.82,-14.82,7.41,69
0.93,0.52,0.21,-12.74,-13.14,7.8,69
0.89,0.49,0.19,-17.96,-8.57,7.87,69
0.82,0.42,0.12,-20.52,-1.77,6.16,69
0.79,0.35,0.05,-12.38,4.05,2.74,69
0.78,0.34,0.06,5.73,7.29,-1.22,69
0.81,0.4,0.1,23.41,8.93,-3.41,69
0.81,0.47,0.15,33.2,10.03,-4.39,69
0.84,0.49,0.17,36.43,9.91,-6.98,69
0.89,0.51,0.17,33.48,8.54,-9.66,69
0.92,0.51,0.16,24.12,5.46,-10.98,69
0.94,0.49,0.14,12.2,1.46,-12.5,69
0.92,0.47,0.13,1.34,-3.17,-14.51,69
0.88,0.46,0.13,-8.45,-6.77,-15.55,69
0.87,0.45,0.13,-14.91,-9.66,-15.7,69
0.88,0.47,0.15,-17.1,-13.26,-14.97,69
0.93,0.51,0.18,-19.24,-15.67,-11.68,69
0.97,0.53,0.2,-23.35,-16.13,-7.44,69
0.96,0.5,0.2,-28.08,-14.24,-1.8,69
0.9,0.45,0.16,-28.11,-7.74,1.92,69
0.84,0.38,0.11,-19.6,0.85,1.43,69
0.81,0.33,0.07,-3.9,7.47,-1.19,69
0.8,0.34,0.09,12.8,10.4,-3.81,69
0.83,0.4,0.13,23.32,11.4,-4.76,69
0.86,0.47,0.17,26.04,11.89,-3.54,69
0.88,0.49,0.18,25.15,11.34,-3.6,69
0.9,0.5,0.18,21.74,9.76,-4.39,69
